subsidy,补助金,['sʌbsidi],n.
subsist,生存下去；继续存在，维持生活,[səb'sist],v.
subsistence,生存，生计；存在,[sʌb'sistəns],n.
substance,要意，主旨，实质；物质,['sʌbstəns],n.
substantial,坚固的，结实的；大体上的，基本的，实质的,[səb'stænʃəl],a.
substantiate,用事实证实，确证,[səbs'tænʃieit],v.
substantive,根本的，本质上的；独立存在的,['sʌbstəntiv],a.
substitute,代替,['sʌbstitju:t],n.
substratum,基础；地基,['sʌb'strɑ:təm],n.
subsume,包含，把„归入,[sʌb'sju:m],v.
subterfuge,诡计，托辞(尤指为逃避困难、责任、失败),['sʌbtəfju:dʒ],n.
subterranean,地下的，地表下的,[sʌbtə'reiniən],a.
subtle,微妙的，精巧的,['sʌtl],a.
subtract,减去，减掉,[səb'trækt],v.
subvention,补助金，津贴,[səb'venʃən],n.
subversive,颠覆性的，破坏性的,[sʌb'və:siv],a.
subvert,颠覆，推翻(政治制度，信仰),[səb'və:t],v.
succinct,简明的，简洁的,[sək'siŋkt],a.
succor,救助，援助,['sʌkə],v.
succumb,屈从；因„死亡,[sə'kʌm],v.
suffice,使足够，(食物)满足,[sə'fais],v.
sufficient,足够的,[sə'fiʃənt],a.
suffocate,(使)窒息而死,['sʌfəkeit],v.
suffrage,选举权，投票权,['sʌfridʒ],n.
suffragist,参政权扩大论者；妇女政权论者,['sʌfrədʒist],n.
suffuse,(色彩等)弥漫，染遍，布满，充满,[sə'fju:z],v.
suggestive,暗示的,[sə'dʒestiv],a.
suitcase,手提箱，箱子,['sju:tkeis],n.
sulky,生闷气的，不搭理人的,['sʌlki],a.
sullen,忧郁的,['sʌlən],a.
sully,玷污，污染,['sʌli],v.
sultry,(天气，空气)闷热的；(女人)风骚的，能激起性欲的,['sʌltri],a.
summarily,概括地；仓促地,['sʌmərəli],adv.
summary,摘要的，简略的,['sʌməri],n.
summation,总结，概要；总数，合计,[sʌ'meiʃən],n.
summon,召见；召集,['sʌmən],v.
sumptuous,豪华的，奢侈的,['sʌmptjuəs],a.
sunder,分开，分离,['sʌndə],v.
sundry,各式各样，各种的,['sʌndri],a.
superannuated,老迈的,[sju:pə'rænjueitid],a.
superb,上乘的，出色的,[sju:'pə:b],a.
supercilious,目中无人的，高傲的,[ˌsju:pə'siliəs],a.
superficial,表面的，肤浅的,[ˌsju:pə'fiʃəl],a.
superficiality,浅薄,[sju:pəˌfiʃi'æliti],n.
superfluity,多余的量,[ˌsju:pə'fluiti],n.
superfluous,多余的，累赘的,[sju:'pə:fluəs],a.
superimpose,加在上面,['sju:pərim'pəuz],v.
superintend,监督,[ˌsju:pərin'tend],v.
superiority,优越(感),[sju:piəri'ɔriti],n.
superlative,最佳的,[sju:'pə:lətiv],a.
supernova,超新星,[ˌsju:pə'nəuvə],n.
supersede,淘汰，取代,[ˌsju:pə'si:d],v.
superstition,迷信，盲目恐惧,[ˌsju:pə'stiʃən],n.
supervise,监督，管理,['sju:pəvaiz],v.
supine,仰卧的；懒散的,[sju:'pain],a.
supplant,取代,[sə'plɑ:nt],v.
supple,伸屈自如的，柔软易弯曲的,['sʌpl],a.
supplement,增补，补充,['sʌplimənt],v.
suppliant,恳求者,['sʌpliənt],a.
supplicant,乞求者，恳求者,['sʌplikənt],n.
supplicate,恳求，乞求,['sʌplikeit],v.
supremacy,至高无上，最高权力，最高权威,[sju'preməsi],n.
supreme,至高的；极度的,[sju:'pri:m],a.
surcharge,附加费,[sə:'tʃɑ:dʒ],v.
surfeit,使过量(饮食),['sə:fit],n.
surge,波涛汹涌，波动,[sə:dʒ],v.
surgeon,外科医师；军医，船上的医生,['sə:dʒən],n.
surly,脾气暴躁的；阴沉的,['sə:li],a.
surmise,推测,['sə:maiz],n.
surmount,克服，战胜,[sə'maunt],v.
surpass,超过,[sə:'pɑ:s],v.
surplus,过剩的；盈余的,['sə:pləs],a.
surrealism,超现实主义,[sə'riəliz(ə)m],n.
surrender,投降；放弃；归还,[sə'rendə],v.
surreptitious,(贬)鬼鬼祟祟的，暗中进行的,[ˌsʌrəp'tiʃəs],a.
surrogate,代替品；代理人,['sʌrəɡit],n.
surveillance,监视，盯梢,[sə:'veiləns],n.
surveyor,(建筑，土地)测量员,[sə'veiə],n.
survive,幸存,[sə'vaiv],v.
susceptibility,易受影响性,[səˌseptə'biliti],n.
susceptible,易受影响的，脆弱的,[sə'septəbl],a.
suspect,可疑的,[səs'pekt],v.
suspend,暂缓，中止；吊，悬,[səs'pend],v.
suspense,悬念，不确定；挂念,[səs'pens],n.
suspicion,怀疑，觉察，嫌疑,[səs'piʃən],n.
suspicious,怀疑的(尤指犯罪，坏事),[səs'piʃəs],a.
sustain,承受(困难)，支撑(重量),[səs'tein],v.
sustained,持久的,[səs'teind],a.
sustenance,食物，粮食；生计,['sʌstinəns],n.
suture,缝合,['sju:tʃə],n.
svelte,(女人)体态苗条的,[svelt],a.
swagger,(贬)自鸣得意地走，大摇大摆地走,['swæɡə],v.
swallow,吞下，咽下；忍受,[swɔləu],v.
swamp,使陷入，使忙得不可开交；淹没,[swɔmp],n.
swank,夸耀，炫耀,[swæŋk],v.
swarm,(蜜蜂)一群；一群(人),[swɔ:m],n.
swarthy,(皮肤等)黝黑的,['swɔ:ði],a.
swathe,包，绑，裹,[sweið],v.
sway,摇动,[swei],v.
swear,诅咒,[sweə],v.
swell,(使)肿胀，(使)增强,[swel],v.
sweltering,酷热的,['sweltəriŋ],a.
swerve,突然改变方向,[swə:v],v.
swift,迅速的；敏捷的,[swift],a.
swig,痛饮,[swiɡ],v.
swill,冲洗；大喝，痛饮,[swil],v.
swindle,诈骗,['swindl],v.
swine,猪,[swain],n.
swing,秋千,[swiŋ],v.
swipe,猛击,[swaip],n.
swirl,漩涡,[swə:l],v.
swoop,猛扑，突然袭击,[swu:p],v.
sybarite,奢侈逸乐的人,['sibərait],n.
sybaritic,放纵的，好享乐的,[ˌsibə'ritik],a.
sycophant,马屁精,['sikəfənt],n.
syllabus,教学纲要，教学大纲,['siləbəs],n.
symbiosis,(生)共生(关系),[ˌsimbai'əusis],n.
symmetry,对称；均衡,['simitri],n.
symphony,交响乐，交响曲,['simfəni],n.
symposium,专题讨论会,[sim'pəuziəm],n.
synchronous,同时发生的,['siŋkrənəs],a.
syndrome,(医)综合症状,['sindrəum],n.
synergic,协同作用的,[si'nə:dʒik],a.
synopsis,摘要，概要,[si'nɔpsis],n.
synoptic,摘要的,[si'nɔptik],a.
synthesis,综合，合成,['sinθisis],n.
syringe,注射器,['sirindʒ],n.
table,搁置，不加考虑,['teibl],v.
taboo,禁忌,[tə'bu:],a.
tacit,心照不宣的(心里明白但嘴上不说的),['tæsit],a.
taciturn,沉默寡言的,['tæsitə:n],a.
tack,大头钉，图钉,[tæk],n.
tackiness,胶粘性,['tækinis],n.
tackle,(吊重物用的)滑车，滑轮,['tækl],v.
tact,机智，圆滑,[tækt],n.
tactic,(达到目的的)手段；战术,['tæktik],n.
tactile,触觉的,['tæktail],a.
tadpole,蝌蚪,['tædpəul],n.
tag,鞋带；附属物，标签,[tæɡ],n.
taking,动人的，吸引人的,['teikiŋ],a.
talisman,避邪物，护身符,['tælizmən],n.
tally,(使)一致，符合,['tæli],v.
talon,猛禽的锐爪,['tælən],n.
tambourine,铃鼓，手鼓,[ˌtæmbə'ri:n],n.
tame,驯服的；沉闷的，平淡无奇的,[teim],a.
tamp,捣实，砸实,[tæmp],v.
tamper,(未经许可擅自)窜改，乱动,['tæmpə],v.
tan,鞣(革)，制(革),[tæn],v.
tangential,切线的；离题的,[tæn'dʒenʃ(ə)l],a.
tangible,可触摸的,['tændʒəbl],a.
tangle,纷乱，混乱,['tæŋɡl],v.
tango,探戈舞,['tæŋɡəu],n.
tangy,强烈的，扑鼻的,['tæŋi],a.
tantalize,(以可望而不可及之物)挑惹，挑逗,['tæntəlaiz],v.
tantamount,与„相等的,['tæntəmaunt],a.
tantrum,发脾气，发怒(尤指儿童),['tæntrəm],n.
taper,(长形物体的)逐渐变细,['teipə],n.
tapestry,挂毯,['tæpistri],n.
tardy,缓慢的，迟缓的,['tɑ:di],a.
tare,莠草，杂草,[teə],n.
tariff,关税,['tærif],n.
tarnish,失去光泽，晦暗,['tɑ:niʃ],n.
tarpaulin,防水油布,[tɑ:'pɔlin],n.
